date;user;date_scraped;company_name;series;raised_funds;investors;date
30/04/2019 20:03;techcrunch;2019-04-30T17:55:42;Kim Kardashian West;;;;30/04/2019 20:03
30/04/2019 19:49;techcrunch;;;;;;30/04/2019 19:49
30/04/2019 19:24;techcrunch;2019-04-30T19:23:01;WhatsApp;;;;30/04/2019 19:24
30/04/2019 19:03;techcrunch;;;;;;30/04/2019 19:03
30/04/2019 18:35;techcrunch;;;;;;30/04/2019 18:35
30/04/2019 18:22;techcrunch;2019-04-30T18:21:01;Amrit;public;;{'ILY Magazine', 'Ramirez'};30/04/2019 18:22
30/04/2019 17:57;techcrunch;2019-04-30T17:55:42;Kim Kardashian West;;;;30/04/2019 17:57
30/04/2019 17:56;techcrunch;2019-04-30T17:54:09;NSA;;;;30/04/2019 17:56
30/04/2019 17:54;techcrunch;2019-04-30T17:44:21;Portal;;;;30/04/2019 17:54
30/04/2019 17:52;techcrunch;;;;;;30/04/2019 17:52
30/04/2019 17:35;techcrunch;2019-04-30T17:32:48;Facebook;;;;30/04/2019 17:35
30/04/2019 17:35;techcrunch;2019-04-30T17:31:07;Mixer;;;;30/04/2019 17:35
30/04/2019 17:35;techcrunch;2019-04-30T17:30:44;Facebook;;;;30/04/2019 17:35
30/04/2019 17:35;techcrunch;2019-04-30T17:30:21;Instagram;public;;;30/04/2019 17:35
30/04/2019 17:34;techcrunch;2019-04-30T17:30:16;Workplace;ipo;;{'Slack', 'Microsoft'};30/04/2019 17:34
30/04/2019 17:34;techcrunch;2019-04-30T17:30:21;Instagram;public;;;30/04/2019 17:34
30/04/2019 17:34;techcrunch;2019-04-30T17:30:16;Workplace;ipo;;{'Slack', 'Microsoft'};30/04/2019 17:34
30/04/2019 17:34;techcrunch;2019-04-30T17:30:13;the Nintendo Switch;;;;30/04/2019 17:34
30/04/2019 17:32;techcrunch;2019-04-30T17:30:08;Rift;;;;30/04/2019 17:32
30/04/2019 17:32;techcrunch;2019-04-30T17:30:03;Oculus;;;;30/04/2019 17:32
30/04/2019 17:31;techcrunch;;;;;;30/04/2019 17:31
30/04/2019 17:07;techcrunch;2019-04-30T17:06:00;Messenger;series o;;{'Mac', 'Facebook'};30/04/2019 17:07
30/04/2019 17:06;techcrunch;2019-04-30T17:05:12;Cheddar;series d;160000000.0 $;{'Altice USA', 'cheddar'};30/04/2019 17:06
